message_id,category,confidence,reason
MSG_0001,Meeting or Event,0.8,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0002,Action Required,0.75,The sender is asking the recipient to review something or complete a review before a deadline.
MSG_0003,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0004,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0005,Sensitive Information,0.75,"The message contains potentially sensitive personal, financial, authentication, or health information."
MSG_0006,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0007,Action Required,0.75,The sender is asking the recipient to respond to a message or request.
MSG_0008,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0009,Personal Information,0.85,The message contains information about a personal emergency contact.
MSG_0010,Action Required,0.75,The sender is asking the recipient to make a payment or pay a bill.
MSG_0011,Meeting or Event,0.8,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0012,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0013,Sensitive Information,0.75,"The message contains potentially sensitive personal, financial, authentication, or health information."
MSG_0014,Promotional,0.85,"The message promotes a product, service, discount, sale, or promotional offer."
MSG_0015,Promotional,0.85,"The message promotes a product, service, discount, sale, or promotional offer."
MSG_0016,Personal Information,0.75,The message contains a personal detail about the sender.
MSG_0017,Action Required,0.75,The sender is asking the recipient to renew something before the given deadline.
MSG_0018,Sensitive Information,0.8,"The message contains potentially sensitive personal, financial, authentication, or health information."
MSG_0019,Action Required,0.75,The sender is asking the recipient to review something or complete a review before a deadline.
MSG_0020,Promotional,0.85,"The message promotes a product, service, discount, sale, or promotional offer."
MSG_0021,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0022,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0023,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0024,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0025,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0026,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0027,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0028,Action Required,0.75,The sender is asking the recipient to perform a specific action.
MSG_0029,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0030,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0031,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0032,Action Required,0.75,The sender is asking the recipient to perform a specific action.
MSG_0033,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0034,Meeting or Event,0.8,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0035,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0036,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0037,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0038,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0039,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0040,Personal Information,0.75,The message contains a personal detail about the sender.
MSG_0041,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0042,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0043,Meeting or Event,0.8,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0044,Action Required,0.75,The sender is asking the recipient to perform a specific action.
MSG_0045,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0046,Action Required,0.75,The sender is asking the recipient to perform a specific action.
MSG_0047,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0048,Personal Information,0.75,The message contains a personal detail about the sender.
MSG_0049,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0050,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0051,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0052,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0053,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0054,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0055,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0056,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0057,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0058,Action Required,0.75,The sender is asking the recipient to review something or complete a review before a deadline.
MSG_0059,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0060,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0061,Promotional,0.75,"The message promotes a product, service, discount, sale, or promotional offer."
MSG_0062,Meeting or Event,0.8,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0063,Action Required,0.75,The sender is asking the recipient to renew something before the given deadline.
MSG_0064,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0065,Action Required,0.75,The sender is asking the recipient to perform a specific action.
MSG_0066,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0067,Meeting or Event,0.75,"The message refers to a scheduled meeting, event, appointment, or planned activity."
MSG_0068,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0069,Personal Information,0.75,The message contains a personal detail about the sender.
MSG_0070,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0071,Promotional,0.75,"The message promotes a product, service, discount, sale, or promotional offer."
MSG_0072,Action Required,0.75,The sender is asking the recipient to renew something before the given deadline.
MSG_0073,Promotional,0.75,"The message promotes a product, service, discount, sale, or promotional offer."
MSG_0074,Sensitive Information,0.75,"The message contains potentially sensitive personal, financial, authentication, or health information."
MSG_0075,General Information,0.75,The message provides general information or an update without requesting a specific action.
MSG_0076,Promotional,0.85,"The message promotes a product, service, discount, sale, or promotional offer."
MSG_0077,General Information,0.75,The message provides general information or an update without requesting a specific action.
